 sim_time real_time ratio_sim_real
769 211.064 1582.47 0.0484148
770 211.18 1584.48 0.0576275
771 211.289 1586.49 0.0543363
772 211.393 1588.49 0.0519367
773 211.503 1590.5 0.0547877
774 211.597 1592.51 0.04685
775 211.707 1594.52 0.0547367
776 211.818 1596.52 0.0553098
777 211.927 1598.53 0.0544099
778 212.028 1600.53 0.0503201
779 212.141 1602.54 0.0562152
780 212.263 1604.55 0.0607456
781 212.374 1606.57 0.0550776
782 212.473 1608.58 0.0492675
783 212.586 1610.58 0.0563876
784 212.695 1612.58 0.0544079
785 212.805 1614.59 0.054886
786 212.893 1616.59 0.0438661
787 212.985 1618.6 0.0458637
788 213.06 1620.61 0.0373024
789 213.171 1622.61 0.0554325
790 213.28 1624.62 0.054209
791 213.399 1626.64 0.0591009
792 213.503 1628.65 0.0517711
793 213.6 1630.73 0.0465741
794 213.721 1632.73 0.0603461
795 213.844 1634.74 0.0612973
796 213.952 1636.75 0.0537171
797 214.051 1638.75 0.0494685
798 214.164 1640.75 0.0564866
799 214.28 1642.76 0.0578789
800 214.39 1644.76 0.0549388
801 214.489 1646.77 0.0491238
802 214.616 1648.79 0.0629927
803 214.743 1650.8 0.0631569
804 214.842 1652.81 0.0492099
805 214.951 1654.83 0.05416
806 215.049 1656.83 0.048927
807 215.13 1658.83 0.0404952
808 215.257 1660.84 0.0632716
809 215.364 1662.84 0.0534926
810 215.482 1664.84 0.0589173
811 215.592 1666.84 0.0549505
812 215.707 1668.85 0.0571868
813 215.823 1670.86 0.0577253
814 215.926 1672.87 0.0512309
815 216.028 1674.87 0.050947
816 216.136 1676.88 0.0539618
817 216.236 1678.88 0.0499413
818 216.368 1680.88 0.0658735
819 216.466 1682.89 0.0488248
820 216.588 1684.89 0.0609362
821 216.692 1686.9 0.0517643
822 216.803134 1688.9 0.0555004
823 216.916 1690.91 0.0563439
824 217.017 1692.91 0.0503543
825 217.135134 1694.92 0.0589625
826 217.243 1696.93 0.0535334
827 217.342 1698.94 0.0493021
828 217.462 1700.94 0.0598555
829 217.578 1702.95 0.0577297
830 217.662 1704.96 0.0417604
831 217.75 1706.98 0.0436387
832 217.832134 1708.99 0.0409783
833 217.924 1710.99 0.0457721
834 218.0 1713.02 0.0374303
835 218.086 1715.02 0.0429926
836 218.187 1717.04 0.0501698
837 218.288 1719.04 0.0503458
838 218.406134 1721.05 0.0589329
839 218.510134 1723.05 0.0519889
840 218.623 1725.06 0.0561496
841 218.743 1727.06 0.0597923
842 218.821 1729.08 0.0387472
843 218.928 1731.08 0.0534768
844 219.031 1733.08 0.0513547
845 219.143 1735.1 0.0555256
846 219.254 1737.81 0.0409328
847 219.326 1739.81 0.0359594
848 219.404 1741.84 0.0384584
849 219.498 1743.85 0.0468472
850 219.586 1745.86 0.0437806
851 219.671 1747.87 0.0422562
852 219.752 1749.88 0.0402583
853 219.848 1751.9 0.0474989
854 219.931 1753.92 0.0412466
855 220.007 1755.92 0.0378778
856 220.114 1757.94 0.0531331
857 220.234 1759.94 0.0597992
